Reference, Value, Footprint, Datasheet
U2,MAX232,SMD_Packages:SO-16-N,
C6,100n,Capacitors_SMD:C_0805_HandSoldering,
C7,100n,Capacitors_SMD:C_0805_HandSoldering,
C1,10µ,Capacitors_SMD:C_0805_HandSoldering,
R1,100k,Resistors_SMD:R_0805_HandSoldering,
U1,MPQ2451,TO_SOT_Packages_SMD:SOT-23-6_Handsoldering,
D1,B140,tobi:SMA-4,
L1,3.3µ,tobi:inductorsmd,
C3,22µ,Capacitors_SMD:C_0805_HandSoldering,
C2,100n,Capacitors_SMD:C_0805_HandSoldering,
D2,B140,tobi:SMA-4,
C11,100n,Capacitors_SMD:C_0805_HandSoldering,
C10,100n,Capacitors_SMD:C_0805_HandSoldering,
C12,100n,Capacitors_SMD:C_0805_HandSoldering,
IC1,PIC16F1615,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
P4,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,
P3,CONN_01X05,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,
T1,IRF7103,SMD_Packages:SOIC-8-N,
R4,22,Resistors_SMD:R_0805_HandSoldering,
C4,10n,Capacitors_SMD:C_0805_HandSoldering,
C5,10n,Capacitors_SMD:C_0805_HandSoldering,
R5,22,Resistors_SMD:R_0805_HandSoldering,
R2,1k,Resistors_SMD:R_0805_HandSoldering,
R3,1k,Resistors_SMD:R_0805_HandSoldering,
C9,100n,Capacitors_SMD:C_0805_HandSoldering,
P1,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm,
